mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,3.9955306053161626,1.970529556274414,6.725797653198242
mig,1.0,4.190206527709961,1.8296241760253906,7.797718048095703
