mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,3.9954042434692387,1.970310211181641,6.725549697875977
mig,1.0,4.190061092376709,1.829385757446289,7.797646522521973
