mode,load,0_squeezenet1_0-8,1_alexnet-2,2_resnet50-4
mps-uncap,1.0,15.204191207885742,11.681079864501953,13.087272644042969
mig,1.0,19.36817169189453,16.623497009277344,21.410465240478516
