mode,load,0_densenet161-8,1_resnet101-32,2_resnet18-16
mps-uncap,0.8,189.7080612182617,152.9924535751339,36.44744873046865
mps-uncap,0.9,759.6710300445557,299.1574811935426,67.1353483200073
mps-uncap,1.0,1412.212586402893,888.3304595947264,744.68092918396
mps-uncap,0.5,28.48201274871829,43.52455139160157,9.935498237609888
mps-uncap,0.6,55.480298995971665,101.82529687881498,14.656939506530833
mps-uncap,0.7,80.00561714172365,101.33066892623918,22.378897666931117
mps-uncap,0.1,11.566965579986556,14.355142116546618,2.648732662200927
mps-uncap,0.2,23.484921455383297,21.90970420837398,4.242982864379887
mps-uncap,0.3,24.40261840820309,28.834891319274917,6.817216873168957
mps-uncap,0.4,28.904993534088153,41.06768846511842,7.207689285278319
