mode,load,0_resnet152-32,1_resnet50-2,2_squeezenet1_0-4
mps-uncap,0.6,329.5770121620546,233.38848683397092,827.4528836602408
mig,0.6,326.35439427443373,233.48096692591065,831.6538511992017
mps-uncap,0.7,394.0359972833955,281.0974324721963,950.6443853113885
mig,0.7,402.85293852336656,278.01003716747704,981.288256825017
mps-uncap,0.8,429.08111783208983,312.8194650034015,1087.3717337525813
mig,0.8,484.91903806617756,319.3485128516846,1092.5448068758753
mps-uncap,0.9,502.8681867591043,291.6241746358261,1260.3530331776137
mig,0.9,509.7266980156613,360.22587803152607,1243.5888578008412
mps-uncap,1.0,563.7443001921146,296.3443848275287,1310.684046102452
mig,1.0,559.498240010066,394.6947409480439,1389.1587857012285
mps-uncap,1.1,618.2456228385853,284.24651206884846,1224.9155575883206
mig,1.1,560.322514873028,401.75949548522294,1408.0794101321926
mps-uncap,1.2,688.0420230809237,247.02356327510148,1191.720086156022
mig,1.2,562.2450864323852,401.0963025814746,1411.6757204033504
mps-uncap,1.3,736.216343202319,258.743239830967,1049.3197063784278
mig,1.3,561.6300911037289,396.6811699434918,1410.2562386557115
