mode,load,0_densenet161-16,1_densenet169-2,2_efficientnet_b6-8
mps-uncap,0.8,282.40379810333246,142.32817411422695,195.59202194213825
mps-uncap,0.9,408.89723777771,215.4212021827696,224.2838001251229
mps-uncap,1.0,1094.2864418029785,1271.7064142227173,541.1099910736083
mps-uncap,0.5,86.26780986785846,48.55904579162578,57.99528360366826
mps-uncap,0.6,99.23410892486578,51.80732727050789,69.14381265640255
mps-uncap,0.7,135.66587209701535,80.62027931213426,97.87118434906006
mps-uncap,0.1,37.83885717391965,45.88373184204102,46.130297183990535
mps-uncap,0.2,46.769630908966064,44.53561067581176,43.621945381164544
mps-uncap,0.3,48.10974597930913,43.85630607604977,45.436930656433134
mps-uncap,0.4,65.60654878616333,42.348265647888184,47.48330116271973
