mode,load,0_mobilenet_v3_large-8,1_resnet18-4,2_squeezenet1_0-16
mps-uncap,0.8,4.808902740478516,1.9359588623046875,3.2835006713867188
mps-uncap,0.9,4.908561706542969,2.1514892578125,3.5266876220703125
mps-uncap,1.0,5.100250244140625,1.9998550415039062,3.7741661071777344
mps-uncap,0.5,4.932165145874023,1.9342899322509766,3.2455921173095703
mps-uncap,0.6,4.943370819091797,1.9407272338867188,3.2622814178466797
mps-uncap,0.7,4.875659942626953,1.9371509552001953,3.246307373046875
mps-uncap,0.1,5.005598068237305,2.0797252655029297,3.859996795654297
mps-uncap,0.2,4.986763000488281,2.0170211791992188,3.275632858276367
mps-uncap,0.3,4.84013557434082,1.953125,3.261089324951172
mps-uncap,0.4,4.913330078125,1.9283294677734375,3.2601356506347656
