mode,load,0_mobilenet_v3_large-8,1_resnet18-4,2_squeezenet1_0-16
mps-uncap,0.8,1112.707265384941,1046.9681813647676,3032.726746060594
mps-uncap,0.9,1223.6619766009155,1005.2494428101071,3425.187414638914
mps-uncap,1.0,1209.5157447929162,941.4513794819878,3595.088662479244
mps-uncap,0.5,669.4920684709083,664.0494668514958,1890.654877923581
mps-uncap,0.6,797.1268100081838,778.5872855211013,2266.613276190003
mps-uncap,0.7,927.3690308779246,925.7710352661172,2711.273230857549
mps-uncap,0.1,131.29959488571996,128.55359901038244,395.44568372038975
mps-uncap,0.2,272.8299997647787,261.9508618456891,768.2000309919028
mps-uncap,0.3,419.1243259133242,389.57981700548464,1122.5068497401367
mps-uncap,0.4,544.8047304355862,534.6838362407284,1497.6121547161636
