mode,load,0_mobilenet_v3_large-8,1_resnet18-4,2_squeezenet1_0-16
mps-uncap,0.8,4.751443862915039,1.9049644470214844,3.268718719482422
mps-uncap,0.9,4.8427581787109375,1.894235610961914,3.397226333618164
mps-uncap,1.0,4.872798919677734,1.9309520721435547,3.420114517211914
mps-uncap,0.5,4.892587661743164,1.9154548645019531,3.2329559326171875
mps-uncap,0.6,4.907131195068359,1.9218921661376953,3.2439231872558594
mps-uncap,0.7,4.845619201660156,1.9097328186035156,3.2291412353515625
mps-uncap,0.1,4.876375198364258,2.0673274993896484,3.4644603729248047
mps-uncap,0.2,4.917144775390625,1.9829273223876953,3.2608509063720703
mps-uncap,0.3,4.810333251953125,1.924276351928711,3.2432079315185547
mps-uncap,0.4,4.867076873779297,1.9092559814453125,3.2401084899902344
