mode,load,0_squeezenet1_1-32,1_resnet34-2,2_vgg11-16
mps-uncap,0.6,2413.0517867080025,317.2202407529713,449.62924943229285
mig,0.6,2437.88355784908,316.97569246615365,474.055473649176
mps-uncap,0.7,2810.708744505967,378.0228241330641,557.7430161837176
mig,0.7,2768.9729577358903,366.9625572504549,542.4186947233004
mps-uncap,0.8,3211.826186091652,409.30663113233317,605.2238419201135
mig,0.8,3183.393705701571,420.0582724244745,623.2193050863095
mps-uncap,0.9,3649.2992800389143,373.7339501356281,722.1450782442201
mig,0.9,3698.320531364354,472.09066794180603,696.4997286822768
mps-uncap,1.0,3955.983341124789,353.25751100700927,775.2253508544443
mig,1.0,3985.5558210261056,539.3784970442259,775.1478741519386
mps-uncap,1.1,4453.272193543777,324.7988288806253,854.5882124178185
mig,1.1,4057.4201969484534,535.487163587146,778.5146597552412
mps-uncap,1.2,4648.400619274093,314.3050013527994,923.6633248778081
mig,1.2,4079.59069890131,541.2668223724482,782.5880742749551
mps-uncap,1.3,4480.554318186895,302.4475229872029,1006.0493639540875
mig,1.3,4076.9370165410623,532.9755093576016,779.9413495705896
