mode,load,0_squeezenet1_1-32,1_resnet34-2,2_vgg11-16
mps-uncap,0.6,45.08638381958008,93.57595443725586,19.84548568725586
mig,0.6,73.77457618713379,31.91542625427246,164.2923355102539
mps-uncap,0.7,47.595977783203125,208.573579788208,26.491403579711914
mig,0.7,71.44618034362793,32.584190368652344,179.01349067687988
mps-uncap,0.8,62.043190002441406,4068.9313411712646,29.280900955200195
mig,0.8,124.31478500366211,52.1700382232666,248.90542030334473
mps-uncap,0.9,95.8564281463623,19778.021574020386,39.984703063964844
mig,0.9,233.83069038391113,102.78749465942383,471.9247817993164
mps-uncap,1.0,129.7128200531006,31239.23897743225,46.330928802490234
mig,1.0,583.6482048034668,400.18606185913086,2154.6168327331543
mps-uncap,1.1,262.16816902160645,40803.032636642456,49.60441589355469
mig,1.1,8180.743455886841,7475.035667419434,7259.491682052612
mps-uncap,1.2,3182.753086090088,45978.753089904785,43.95866394042969
mig,1.2,14090.421915054321,13725.697040557861,15382.089614868164
mps-uncap,1.3,13642.180919647217,51294.965505599976,51.235198974609375
mig,1.3,19278.185606002808,20571.821689605713,21213.120460510254
