mode,load,0_squeezenet1_1-32,1_resnet34-2,2_vgg11-16
mps-uncap,0.6,20.680832862854018,37.124919891357415,12.863781452178966
mig,0.6,39.4207525253296,17.05998420715332,95.50732374191284
mps-uncap,0.7,27.45062828063965,121.5370988845827,14.903767108917203
mig,0.7,47.330379486083984,21.19578838348389,125.07921457290652
mps-uncap,0.8,35.9828472137451,3993.635642528534,15.184841156005836
mig,0.8,73.52800369262698,34.54879760742186,210.19201755523721
mps-uncap,0.9,51.649212837219224,19531.868381500244,19.57731246948241
mig,0.9,164.09869670867926,79.51052427291867,394.1569185256957
mps-uncap,1.0,78.74451160430914,30911.7045879364,24.192295074462912
mig,1.0,507.2522163391111,362.0875072479249,2095.3645563125606
mps-uncap,1.1,184.32731151580788,40275.65205574035,25.139141082763665
mig,1.1,8086.879129409791,7433.519916534424,7160.146265029907
mps-uncap,1.2,3038.2253932952876,45499.639546871185,24.767065048217788
mig,1.2,13999.784531593323,13627.41607904434,15088.672759532928
mps-uncap,1.3,13495.057382583618,50764.63218688965,30.788941383361884
mig,1.3,19044.794895648956,20279.806852340695,20980.03898620606
