mode,load,0_squeezenet1_1-32,1_resnet34-2,2_vgg11-16
mps-uncap,0.6,6.611347198486328,8.025407791137695,7.868528366088867
mig,0.6,11.276960372924805,5.025625228881836,28.98406982421875
mps-uncap,0.7,8.257627487182617,17.139554023742676,8.262276649475098
mig,0.7,12.909889221191406,6.215453147888184,34.537434577941895
mps-uncap,0.8,8.928060531616211,2265.8464908599854,8.459329605102539
mig,0.8,17.18926429748535,7.85064697265625,43.02477836608887
mps-uncap,0.9,11.366128921508789,9782.786846160889,8.722782135009766
mig,0.9,35.83049774169922,13.475894927978516,70.8615779876709
mps-uncap,1.0,15.080928802490234,15670.378684997559,8.920669555664062
mig,1.0,123.18921089172363,128.88360023498535,1202.4791240692139
mps-uncap,1.1,32.463669776916504,20450.865268707275,9.492635726928711
mig,1.1,4729.897260665894,3584.7922563552856,3677.4308681488037
mps-uncap,1.2,1227.4255752563477,23186.965107917786,9.699344635009766
mig,1.2,7137.76421546936,6611.050605773926,7942.735552787781
mps-uncap,1.3,6206.956148147583,24973.302125930786,10.349392890930176
mig,1.3,9583.66060256958,10096.139669418335,10671.354532241821
