mode,load,0_squeezenet1_1-32,1_resnet34-2,2_vgg11-16
mps-uncap,0.6,8.188748359680176,16.983985900878906,4.870438575744628
mig,0.6,17.381238937377937,7.348871231079103,45.239925384521484
mps-uncap,0.7,12.449359893798835,54.527521133422866,5.884361267089849
mig,0.7,21.795034408569336,9.892845153808597,61.295390129089355
mps-uncap,0.8,15.29130935668945,3774.4853734970093,6.772136688232421
mig,0.8,35.11929512023926,16.184520721435543,89.71676826477051
mps-uncap,0.9,23.681116104125977,18051.102137565613,7.9836368560791025
mig,0.9,90.62256813049315,39.5305395126343,156.70294761657718
mps-uncap,1.0,38.00497055053714,27971.172332763672,9.305477142333983
mig,1.0,312.2640609741216,281.33440017700195,1676.3312816619873
mps-uncap,1.1,96.61879539489752,36663.38081359863,11.222887039184585
mig,1.1,7372.991943359374,6541.366267204286,6929.459190368652
mps-uncap,1.2,2521.976947784424,41279.924273490906,11.936378479003906
mig,1.2,12621.474504470825,12302.866864204407,13614.870262145998
mps-uncap,1.3,12498.276662826538,46476.17897987366,14.878726005554201
mig,1.3,17526.044964790344,18489.31050300598,19027.839517593384
