mode,load,0_squeezenet1_1-32,1_resnet34-2,2_vgg11-16
mps-uncap,0.6,9.304881095886236,7.086753845214844,9.041070938110352
mig,0.6,9.560203552246094,4.078912734985352,21.17764949798584
mps-uncap,0.7,10.223150253295902,7.487034797668457,9.336018562316895
mig,0.7,9.337663650512695,3.9312124252319336,21.161198616027832
mps-uncap,0.8,9.812164306640625,8.86979103088379,9.404182434082031
mig,0.8,8.74638557434082,3.885936737060547,21.098709106445316
mps-uncap,0.9,10.117602348327637,9.734296798706056,9.477090835571289
mig,0.9,8.388757705688477,3.857851028442383,21.04015350341797
mps-uncap,1.0,10.161733627319336,9.995341300964355,9.422826766967773
mig,1.0,8.407497406005861,3.737211227416992,21.169495582580566
mps-uncap,1.1,10.31494140625,10.770893096923828,9.67063903808594
mig,1.1,8.361339569091797,3.790140151977539,21.004152297973633
mps-uncap,1.2,11.309194564819336,10.31041145324707,9.547710418701172
mig,1.2,8.332514762878418,3.749370574951172,20.879626274108887
mps-uncap,1.3,11.510753631591799,10.824847221374513,9.517168998718262
mig,1.3,8.341526985168457,3.811359405517578,21.028947830200195
