mode,load,0_densenet121-4,1_squeezenet1_0-32,2_vgg13-32
mps-uncap,0.8,195.44860363006535,233.1659030914304,229.84752655029294
mps-uncap,0.9,314.76862907409566,1018.0445528030398,709.8801589012147
mps-uncap,1.0,562.992358207704,5764.081311225892,7102.661037445067
mps-uncap,0.5,62.42069482803349,77.83790349960329,73.78266572952263
mps-uncap,0.6,93.49749088287354,77.98339843750001,118.46237182617188
mps-uncap,0.7,134.30709838867188,178.62881660461431,200.31290054321295
mps-uncap,0.1,42.91844367980957,25.807075500488292,49.8967170715332
mps-uncap,0.2,47.182652950286865,29.616434574127197,44.03759956359865
mps-uncap,0.3,41.87846183776856,38.84095430374146,49.756288528442354
mps-uncap,0.4,55.02071380615242,40.62973260879514,63.39139223098765
