mode,load,0_efficientnet_b6-2,1_mobilenet_v2-4,2_vgg13-8
mps-uncap,0.8,37.093162536621094,7.810831069946289,6.347179412841797
mps-uncap,0.9,39.16501998901367,9.490728378295898,6.550788879394531
mps-uncap,1.0,35.637855529785156,8.838176727294922,6.675004959106445
mps-uncap,0.5,33.0958366394043,8.085489273071289,5.643367767333984
mps-uncap,0.6,32.41467475891113,7.943153381347656,6.509304046630859
mps-uncap,0.7,33.78033638000488,8.43048095703125,6.138801574707031
mps-uncap,0.1,25.618553161621094,7.552862167358398,5.417823791503906
mps-uncap,0.2,26.914596557617188,7.663965225219727,5.4111480712890625
mps-uncap,0.3,30.08747100830078,7.80797004699707,5.656719207763672
mps-uncap,0.4,31.047344207763672,8.239269256591797,5.47480583190918
