mode,load,0_vgg16-8,1_mobilenet_v3_large-4,2_mobilenet_v3_large-8
mps-uncap,1.0,1125.8410404895092,448.45231356032735,928.9420890966785
mig,1.0,668.4119361261099,812.9225491565412,1596.440906305672
