mode,load,0_vgg16-8,1_mobilenet_v3_large-4,2_mobilenet_v3_large-8
mps-uncap,1.0,18.593311309814453,19.64259147644043,19.211292266845703
mig,1.0,27.79245376586914,13.03720474243164,18.508195877075195
