mode,load,0_vgg16-8,1_mobilenet_v3_large-4,2_mobilenet_v3_large-8
mps-uncap,1.0,7.543365955352783,11.04398250579834,10.511732101440428
mig,1.0,13.085229396820068,5.206823348999023,5.413293838500977
