mode,load,0_vgg16-8,1_mobilenet_v3_large-4,2_mobilenet_v3_large-8
mps-uncap,1.0,6.602048873901367,5.4168701171875,6.247997283935547
mig,1.0,11.776208877563477,4.8084259033203125,4.92095947265625
