mode,load,0_vgg16-8,1_mobilenet_v3_large-4,2_mobilenet_v3_large-8
mps-uncap,1.0,0.000476837158203125,0.0054836273193359375,0.00095367431640625
mig,1.0,0.0019073486328125,0.0059604644775390625,0.0064373016357421875
