mode,load,0_vgg16-8,1_mobilenet_v3_large-4,2_mobilenet_v3_large-8
mps-uncap,1.0,18.593311309814453,19.64259147644043,19.211530685424805
mig,1.0,27.792692184448242,13.037443161010742,18.508434295654297
