mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,0.01239776611328125,0.014543533325195312,0.012159347534179688
mig,0.6,0.01239776611328125,0.014781951904296875,0.01239776611328125
mps-uncap,0.7,0.011920928955078125,0.014543533325195312,0.011920928955078125
mig,0.7,0.011682510375976562,0.012636184692382812,0.014543533325195312
mps-uncap,0.8,0.011920928955078125,0.014543533325195312,0.01239776611328125
mig,0.8,0.011682510375976562,0.014781951904296875,0.014066696166992188
mps-uncap,0.9,0.011444091796875,0.014543533325195312,0.014543533325195312
mig,0.9,0.012874603271484375,0.01430511474609375,0.014066696166992188
mps-uncap,1.0,0.014066696166992188,0.012874603271484375,0.014781951904296875
mig,1.0,0.011682510375976562,0.014781951904296875,0.014781951904296875
mps-uncap,1.1,0.015497207641601562,0.0171661376953125,0.0152587890625
mig,1.1,0.01430511474609375,0.0152587890625,0.014781951904296875
mps-uncap,1.2,0.015020370483398438,0.017642974853515625,0.014781951904296875
mig,1.2,0.0152587890625,0.019073486328125,0.015497207641601562
mps-uncap,1.3,0.0152587890625,0.019073486328125,0.021219253540039062
mig,1.3,0.01430511474609375,0.018596649169921875,0.01430511474609375
