mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,4.827737808227539,15.056371688842773,8.656024932861328
mig,0.6,4.782199859619141,14.868736267089844,8.339166641235352
mps-uncap,0.7,4.866361618041992,14.981985092163086,8.508920669555664
mig,0.7,4.7454833984375,15.190839767456055,8.516788482666016
mps-uncap,0.8,4.84013557434082,14.709949493408203,8.584737777709961
mig,0.8,4.846334457397461,15.289545059204102,8.313417434692383
mps-uncap,0.9,4.870891571044922,14.874935150146484,8.613348007202148
mig,0.9,4.879951477050781,15.01917839050293,8.400440216064453
mps-uncap,1.0,4.880189895629883,14.925956726074219,8.605003356933594
mig,1.0,4.749774932861328,15.166997909545898,8.448362350463867
mps-uncap,1.1,4.879951477050781,15.284061431884766,8.621931076049805
mig,1.1,4.764318466186523,15.350818634033203,8.521318435668945
mps-uncap,1.2,4.915475845336914,15.1214599609375,8.553504943847656
mig,1.2,4.897356033325195,15.262126922607422,8.494853973388672
mps-uncap,1.3,4.869222640991211,15.05422592163086,8.479118347167969
mig,1.3,4.893064498901367,15.055418014526367,8.315324783325195
