mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,22.992706298828082,66.67908668518064,41.04347229003915
mig,0.6,23.57454299926759,64.8741245269775,40.50898551940918
mps-uncap,0.7,31.86118602752687,102.51692295074447,56.17503404617305
mig,0.7,30.453968048095692,124.30292367935151,61.877729892730706
mps-uncap,0.8,63.012046813964844,135.13661861419683,98.8447380065916
mig,0.8,56.0020804405212,158.61977338790888,88.4844017028811
mps-uncap,0.9,80.74698448181134,173.76364469528195,161.61570072174038
mig,0.9,91.71289682388323,267.4828267097473,194.49282884597773
mps-uncap,1.0,2545.48645734787,421.42771244049084,1866.513683795929
mig,1.0,260.53648233413696,1534.8687171936035,1136.113600730896
mps-uncap,1.1,9113.41338634491,9692.846908569336,10244.57837343216
mig,1.1,5058.653259277344,8757.950110435486,7151.169681549071
mps-uncap,1.2,17560.3187417984,14605.428731441498,15979.446411132812
mig,1.2,17045.368821620945,13949.667673110962,13158.701784610748
mps-uncap,1.3,21362.539234161377,21087.177011966705,22845.6139421463
mig,1.3,21246.47212266922,20727.495441436768,17717.479395866394
