mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,968.4856743815265,151.77750030685812,266.80721407774854
mig,0.6,970.0378265115718,155.53632815237208,268.3646341558992
mps-uncap,0.7,1124.098911598255,175.11630749754048,311.85993024019814
mig,0.7,1111.0532591902727,180.16277447905708,324.7731215272703
mps-uncap,0.8,1267.2737843372768,196.4801236210551,358.8644152955092
mig,0.8,1281.3880922502815,204.22077608630653,366.3638299359447
mps-uncap,0.9,1413.4650801037458,225.70397363561707,399.923321788415
mig,0.9,1454.697760203653,232.09647958017513,406.0572095223229
mps-uncap,1.0,1570.3574688278215,248.26922373736943,441.84297635540435
mig,1.0,1599.9531993698392,256.1911312487053,457.73493238467563
mps-uncap,1.1,1581.4536603972622,252.646866119319,443.6356278727323
mig,1.1,1624.1490701569548,254.66016506569198,456.2187415145378
mps-uncap,1.2,1563.0908684813674,256.51087652160834,446.20649503900967
mig,1.2,1585.0544456880248,256.4870453994725,458.8997136963221
mps-uncap,1.3,1580.3534589207472,258.2903181017608,451.0721044130199
mig,1.3,1585.7774703110108,259.61145940518054,468.62782179510265
