mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,47.60098457336426,106.58836364746094,76.92456245422363
mig,0.6,53.221702575683594,122.12276458740234,100.20756721496582
mps-uncap,0.7,50.25887489318848,162.77527809143066,117.17438697814941
mig,0.7,61.65623664855957,191.35546684265137,95.08204460144043
mps-uncap,0.8,93.77074241638184,172.73235321044922,198.40288162231445
mig,0.8,99.48468208312988,221.58074378967285,137.27736473083496
mps-uncap,0.9,131.99877738952637,252.3510456085205,238.96431922912598
mig,0.9,122.31850624084473,325.6111145019531,235.32867431640625
mps-uncap,1.0,2630.934238433838,519.1187858581543,1907.4656963348389
mig,1.0,289.89195823669434,1675.9989261627197,1199.2757320404053
mps-uncap,1.1,9216.978311538696,9957.87787437439,10457.868099212646
mig,1.1,5126.651048660278,8867.41828918457,7237.594366073608
mps-uncap,1.2,17702.090978622437,14807.995080947876,16168.757200241089
mig,1.2,17206.013441085815,14125.322580337524,13239.940643310547
mps-uncap,1.3,21586.76242828369,21396.449327468872,23089.978456497192
mig,1.3,21476.6902923584,21007.992029190063,17945.053577423096
