mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,9.610176086425781,19.289016723632812,20.96104621887207
mig,0.6,16.797780990600586,26.87668800354004,19.868135452270508
mps-uncap,0.7,11.458873748779297,27.190446853637695,19.921302795410156
mig,0.7,13.621807098388672,27.309894561767578,22.60422706604004
mps-uncap,0.8,13.961553573608398,18.804073333740234,18.2802677154541
mig,0.8,12.891530990600586,27.856826782226562,17.1968936920166
mps-uncap,0.9,18.73183250427246,30.234336853027344,23.564577102661133
mig,0.9,18.646955490112305,28.780460357666016,15.516519546508789
mps-uncap,1.0,19.48070526123047,25.177001953125,22.0949649810791
mig,1.0,13.760566711425781,27.51755714416504,21.579504013061523
mps-uncap,1.1,15.352010726928711,22.960424423217773,23.279190063476562
mig,1.1,10.804891586303711,23.38862419128418,22.275686264038086
mps-uncap,1.2,19.059181213378906,25.00128746032715,22.258758544921875
mig,1.2,13.263225555419922,27.557849884033203,18.0666446685791
mps-uncap,1.3,19.12379264831543,29.2813777923584,23.728609085083008
mig,1.3,13.979911804199219,27.93097496032715,21.524906158447266
