mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,16.73326492309571,50.2633333206177,29.874682426452637
mig,0.6,15.692853927612303,47.65462875366211,25.364279747009277
mps-uncap,0.7,21.090459823608406,63.83869647979737,34.739112854003906
mig,0.7,19.401788711547855,67.91470050811769,37.359428405761726
mps-uncap,0.8,30.73716163635254,80.0325870513916,55.38654327392579
mig,0.8,30.7765007019043,94.62480545043944,48.02889823913575
mps-uncap,0.9,47.991943359375,130.16164302825928,105.76686859130858
mig,0.9,58.48546028137208,178.5897970199585,122.44560718536377
mps-uncap,1.0,2265.786623954771,307.14714527130127,1650.5619525909437
mig,1.0,207.62333869934088,1105.7770252227788,1011.3293409347534
mps-uncap,1.1,8405.017399787903,8971.246862411499,9442.87405014038
mig,1.1,4692.721843719482,7947.7497816085815,6850.999021530151
mps-uncap,1.2,15925.96082687378,13046.557307243347,14815.04349708557
mig,1.2,15388.369274139404,12858.707761764526,12127.73973941803
mps-uncap,1.3,19510.200262069702,19003.146457672123,20967.38157272339
mig,1.3,19102.38676071167,19132.45782852173,16129.23369407654
