mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,27.95238494873047,82.14239358901976,50.35582780838022
mig,0.6,28.522467613220222,80.04560470581036,49.15505647659302
mps-uncap,0.7,36.97629451751709,118.15026283264157,64.96933937072747
mig,0.7,35.41580200195312,139.93773460388158,70.83249330520626
mps-uncap,0.8,68.13318014144896,150.49214363098147,107.71693229675289
mig,0.8,60.911011695861816,174.0670776367187,97.03200340271009
mps-uncap,0.9,85.70774078369122,188.99266719818112,170.4655599594113
mig,0.9,96.74337863922135,282.6832866668702,203.25524568557734
mps-uncap,1.0,2550.561559200287,436.6275596618653,1875.435426235199
mig,1.0,265.416898727417,1550.160369873047,1144.687626361847
mps-uncap,1.1,9118.436608314514,9708.448944091797,10253.464615345001
mig,1.1,5063.585734367371,8773.389356136322,7159.751777648926
mps-uncap,1.2,17565.460889339447,14620.870530605316,15988.697986602783
mig,1.2,17050.324501991272,13965.087356567383,13167.297077178955
mps-uncap,1.3,21367.758102416992,21102.527987957,22854.357256889343
mig,1.3,21251.498596668243,20742.835016250614,17726.14800453186
