mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,4.87518310546875,15.163898468017578,8.699655532836914
mig,0.6,4.819154739379883,14.920949935913086,8.427858352661133
mps-uncap,0.7,4.912376403808594,15.069246292114258,8.570671081542969
mig,0.7,4.796266555786133,15.289783477783203,8.575677871704102
mps-uncap,0.8,4.899024963378906,14.770746231079102,8.653402328491211
mig,0.8,4.890918731689453,15.379667282104492,8.365631103515625
mps-uncap,0.9,4.916191101074219,14.913797378540039,8.683919906616211
mig,0.9,4.93311882019043,15.11526107788086,8.480072021484375
mps-uncap,1.0,5.002021789550781,15.085220336914062,8.74185562133789
mig,1.0,4.811525344848633,15.301942825317383,8.588552474975586
mps-uncap,1.1,5.031347274780273,15.636444091796875,8.65316390991211
mig,1.1,5.0411224365234375,15.622615814208984,8.671998977661133
mps-uncap,1.2,5.424022674560547,16.71624183654785,8.791923522949219
mig,1.2,5.3462982177734375,15.680789947509766,8.657217025756836
mps-uncap,1.3,5.231142044067383,16.24321937561035,9.610414505004883
mig,1.3,4.996776580810547,15.541553497314453,8.50057601928711
