mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,7.658243179321289,22.562861442565918,13.535022735595703
mig,0.6,7.1964263916015625,22.19557762145996,11.560678482055664
mps-uncap,0.7,9.148836135864258,27.120113372802734,15.285253524780273
mig,0.7,8.611202239990234,28.191089630126953,16.07644557952881
mps-uncap,0.8,12.00401782989502,30.504941940307617,21.050214767456055
mig,0.8,11.963129043579102,35.46929359436035,18.416881561279297
mps-uncap,0.9,20.911693572998047,48.0654239654541,39.30497169494629
mig,0.9,21.947264671325684,61.30659580230713,37.140488624572754
mps-uncap,1.0,1338.927984237671,128.47590446472168,1015.8371925354004
mig,1.0,73.0661153793335,297.1193790435791,569.0245628356934
mps-uncap,1.1,4859.831809997559,5013.116359710693,5323.820948600769
mig,1.1,2402.350664138794,4245.444536209106,3660.1903438568115
mps-uncap,1.2,8962.38374710083,6571.789026260376,8029.62851524353
mig,1.2,8523.728489875793,7856.169939041138,7230.766773223877
mps-uncap,1.3,10959.297180175781,11066.09058380127,11399.844288825989
mig,1.3,10496.3698387146,10741.471529006958,8626.506567001343
