mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,5.513811111450195,16.43803119659424,9.841203689575195
mig,0.6,5.344390869140625,16.070842742919922,9.268879890441895
mps-uncap,0.7,5.458354949951172,16.43855571746826,9.35366153717041
mig,0.7,5.215120315551759,16.272878646850586,9.264206886291504
mps-uncap,0.8,5.382204055786134,16.131973266601566,9.362459182739258
mig,0.8,5.249500274658203,16.306424140930176,8.989238739013672
mps-uncap,0.9,5.284547805786133,16.179203987121582,9.603357315063475
mig,0.9,5.250215530395508,15.94381332397461,9.02554988861084
mps-uncap,1.0,5.272626876831055,15.922832489013672,9.466028213500977
mig,1.0,5.059003829956055,15.949201583862305,8.965921401977539
mps-uncap,1.1,5.234694480895996,16.408872604370117,9.484124183654785
mig,1.1,5.086183547973633,16.14530086517334,9.063482284545898
mps-uncap,1.2,5.312848091125488,16.059041023254395,9.402847290039062
mig,1.2,5.196332931518555,15.971612930297852,8.968496322631836
mps-uncap,1.3,5.230283737182617,15.881538391113281,9.312152862548828
mig,1.3,5.1857709884643555,15.800380706787111,8.7799072265625
