mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,52.6580810546875,122.76220321655273,86.64369583129883
mig,0.6,58.072566986083984,137.44831085205078,108.86836051940918
mps-uncap,0.7,55.19914627075195,178.9548397064209,126.07240676879883
mig,0.7,66.57242774963379,207.108736038208,103.70469093322754
mps-uncap,0.8,98.73104095458984,188.21072578430176,207.29923248291016
mig,0.8,104.37870025634766,237.31756210327148,145.91336250305176
mps-uncap,0.9,136.9166374206543,267.43268966674805,247.87354469299316
mig,0.9,127.26283073425293,340.7883644104004,244.9362277984619
mps-uncap,1.0,2635.932683944702,534.630298614502,1916.222333908081
mig,1.0,294.8870658874512,1691.3039684295654,1207.7527046203613
mps-uncap,1.1,9222.092151641846,9973.74415397644,10466.913223266602
mig,1.1,5131.545543670654,8884.308099746704,7246.224641799927
mps-uncap,1.2,17712.584257125854,14825.894594192505,16177.438735961914
mig,1.2,17215.848684310913,14142.499923706055,13251.046895980835
mps-uncap,1.3,21598.06728363037,21412.203311920166,23099.374771118164
mig,1.3,21487.94960975647,21025.582551956177,17953.78589630127
