mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,11.66820526123047,34.709763526916525,20.807623863220215
mig,0.6,10.71400642395019,32.46259689331055,16.755342483520508
mps-uncap,0.7,15.94963073730469,48.110890388488784,25.854063034057614
mig,0.7,14.491701126098645,52.238655090332045,28.473830223083496
mps-uncap,0.8,25.65295696258545,64.48969841003418,46.38919830322266
mig,0.8,25.728487968444828,78.98957729339597,39.36600685119629
mps-uncap,0.9,42.87214279174805,114.82357978820801,96.61026000976561
mig,0.9,53.441786766052246,162.85388469696045,113.80352973937988
mps-uncap,1.0,2260.8108758926373,291.4665460586549,1641.8029546737685
mig,1.0,202.76498794555667,1089.7019386291504,1002.7266025543213
mps-uncap,1.1,8399.937462806702,8955.425024032593,9434.132051467896
mig,1.1,4687.780380249023,7932.296442985535,6842.363452911377
mps-uncap,1.2,15920.920777320862,13030.728101730347,14806.251382827759
mig,1.2,15383.397603034971,12843.354225158691,12119.199585914612
mps-uncap,1.3,19505.14669418335,18987.884211540226,20958.80982875824
mig,1.3,19097.348594665527,19116.825342178345,16120.752716064451
