mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,2.610445022583008,6.847500801086426,4.423379898071289
mig,0.6,2.2306442260742188,6.826639175415039,2.8493404388427734
mps-uncap,0.7,4.046201705932617,11.497974395751953,6.389260292053223
mig,0.7,3.700733184814453,12.490987777709961,7.2612762451171875
mps-uncap,0.8,6.8694353103637695,15.055179595947266,12.109994888305664
mig,0.8,6.927251815795898,19.74630355834961,9.818077087402344
mps-uncap,0.9,15.855550765991211,32.467007637023926,30.254840850830078
mig,0.9,16.916632652282715,45.868635177612305,28.505563735961914
mps-uncap,1.0,1333.892583847046,113.09361457824707,1006.9527626037598
mig,1.0,68.1767463684082,281.62455558776855,560.3020191192627
mps-uncap,1.1,4854.791522026062,4997.3814487457275,5314.701557159424
mig,1.1,2397.3076343536377,4229.937434196472,3651.512861251831
mps-uncap,1.2,8957.422494888306,6556.393027305603,8020.740509033203
mig,1.2,8518.707752227783,7840.779781341553,7222.176909446716
mps-uncap,1.3,10954.321146011353,11050.714373588562,11391.173958778381
mig,1.3,10491.376399993896,10725.7719039917,8618.103742599487
