mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,6.321697235107422,17.574234008789062,10.763835906982422
mig,0.6,5.973114967346191,17.10209846496582,10.256290435791016
mps-uncap,0.7,6.297435760498047,17.382493019104,9.950749874114988
mig,0.7,5.711364746093749,17.081680297851562,9.8291015625
mps-uncap,0.8,6.244585514068603,16.98316097259522,9.916181564331053
mig,0.8,5.670528411865234,16.943418979644775,9.478893280029297
mps-uncap,0.9,5.683403015136719,17.206549644470215,10.770850181579586
mig,0.9,5.598142147064209,16.618077754974365,9.48380947113037
mps-uncap,1.0,6.16835355758667,16.634552478790283,10.497834682464598
mig,1.0,5.357937812805176,16.62249565124512,9.404785633087156
mps-uncap,1.1,5.55739164352417,17.284727096557617,10.789020061492922
mig,1.1,5.386698246002198,16.724541187286377,9.45962905883789
mps-uncap,1.2,6.05973482131958,16.699135303497314,10.471181869506836
mig,1.2,5.471687316894534,16.55895233154297,9.32513952255249
mps-uncap,1.3,5.9984540939331055,16.476655006408688,10.314767360687254
mig,1.3,5.471961498260498,16.39793395996094,9.174828529357908
