mode,load,0_mobilenet_v3_large-8,1_efficientnet_b5-4,2_inception_v3-4
mps-uncap,0.6,5.049228668212891,15.743136405944824,9.09566879272461
mig,0.6,4.981756210327148,15.393495559692383,8.72659683227539
mps-uncap,0.7,5.073785781860352,15.578508377075195,8.872032165527344
mig,0.7,4.925727844238281,15.68603515625,8.839845657348633
mps-uncap,0.8,5.028724670410156,15.246868133544922,8.924007415771484
mig,0.8,4.999876022338867,15.710830688476562,8.579492568969727
mps-uncap,0.9,5.026340484619141,15.329718589782715,8.89134407043457
mig,0.9,5.008220672607422,15.300512313842773,8.606910705566406
mps-uncap,1.0,5.0106048583984375,15.321969985961914,8.858680725097656
mig,1.0,4.854679107666016,15.382766723632812,8.614182472229004
mps-uncap,1.1,5.0029754638671875,15.674591064453125,8.852243423461914
mig,1.1,4.875421524047852,15.550851821899414,8.67605209350586
mps-uncap,1.2,5.044698715209961,15.485763549804688,8.80885124206543
mig,1.2,5.003929138183594,15.45405387878418,8.640527725219727
mps-uncap,1.3,4.997730255126953,15.38991928100586,8.72802734375
mig,1.3,5.004405975341797,15.279054641723633,8.46409797668457
