mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,58.8531494140625,76.65133476257324,33.37717056274414
mig,0.6,96.0392951965332,21.251678466796875,228.0268669128418
mps-uncap,0.7,83.02426338195801,160.62617301940918,39.61515426635742
mig,0.7,124.34101104736328,33.60605239868164,318.04966926574707
mps-uncap,0.8,117.70772933959961,145.7974910736084,44.814109802246094
mig,0.8,129.15849685668945,48.635005950927734,789.9219989776611
mps-uncap,0.9,146.9404697418213,3191.086530685425,48.49672317504883
mig,0.9,263.2181644439697,66.34926795959473,632.6591968536377
mps-uncap,1.0,371.1237907409668,21187.496662139893,88.36555480957031
mig,1.0,559.2310428619385,120.33915519714355,2308.665990829468
mps-uncap,1.1,2619.349956512451,34081.68387413025,53.43985557556152
mig,1.1,8197.51000404358,7088.457345962524,6723.667144775391
mps-uncap,1.2,13793.327808380127,39372.684478759766,56.78200721740723
mig,1.2,14240.359544754028,12945.090293884277,16345.336198806763
mps-uncap,1.3,21296.07319831848,48025.26593208313,75.76465606689453
mig,1.3,21149.23906326294,18920.386791229248,22996.986627578735
