mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,5.079507827758789,1.699209213256836,11.065483093261719
mig,0.6,9.43756103515625,2.6204586029052734,37.11438179016113
mps-uncap,0.7,5.080223083496094,1.7061233520507812,11.130332946777344
mig,0.7,9.461164474487305,2.6216506958007812,37.05334663391113
mps-uncap,0.8,5.062341690063477,1.6944408416748047,11.06715202331543
mig,0.8,9.448051452636719,2.6254653930664062,37.11056709289551
mps-uncap,0.9,5.410194396972656,1.669168472290039,11.381864547729492
mig,0.9,9.467363357543945,2.6237964630126953,37.138938903808594
mps-uncap,1.0,6.132364273071289,1.6946792602539062,11.539459228515625
mig,1.0,9.51242446899414,2.6412010192871094,37.27293014526367
mps-uncap,1.1,5.4912567138671875,1.7008781433105469,11.89279556274414
mig,1.1,9.561777114868164,2.655029296875,37.505388259887695
mps-uncap,1.2,5.653858184814453,1.6982555389404297,12.11237907409668
mig,1.2,9.585380554199219,2.6488304138183594,37.531137466430664
mps-uncap,1.3,5.522727966308594,1.753091812133789,12.142181396484375
mig,1.3,9.546518325805664,2.624988555908203,37.418365478515625
