mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,43.71457815170286,48.36930513381965,33.90180349349977
mig,0.6,73.91894817352295,15.324363708496096,196.77095651626584
mps-uncap,0.7,56.474039554595976,100.49081563949584,40.326406955718966
mig,0.7,82.93208360672,20.55473327636711,252.62761116027826
mps-uncap,0.8,73.86099338531488,111.35699987411505,38.01400661468508
mig,0.8,97.53991127014156,35.57331562042222,708.5057139396664
mps-uncap,0.9,121.4484214782713,3116.4988374710088,41.23909473419186
mig,0.9,230.06063461303705,46.85900688171394,571.5962982177732
mps-uncap,1.0,298.5185575485229,20800.581417083748,50.17793655395511
mig,1.0,517.9819321632386,99.75768089294435,2222.5565433502197
mps-uncap,1.1,2550.8217716217036,33734.58382844925,45.02514362335207
mig,1.1,8137.133493423463,6997.18707561493,6641.367838382721
mps-uncap,1.2,13728.29213142395,38967.31454372406,50.28762817382829
mig,1.2,14107.791721820831,12833.040466308594,16213.611478805544
mps-uncap,1.3,21175.112237930298,47626.72907829285,63.89657974243161
mig,1.3,20823.57504367828,18747.78341293335,22687.355570793152
