mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,65.84358215332031,79.28848266601562,49.53145980834961
mig,0.6,106.03594779968262,23.924589157104492,265.1658058166504
mps-uncap,0.7,89.87808227539062,165.5726432800293,53.249359130859375
mig,0.7,134.13047790527344,36.353349685668945,356.48488998413086
mps-uncap,0.8,133.80718231201172,150.7890224456787,58.11762809753418
mig,0.8,139.81175422668457,51.41782760620117,828.5481929779053
mps-uncap,0.9,153.74159812927246,3193.091869354248,62.35551834106445
mig,0.9,273.20241928100586,69.07153129577637,670.93825340271
mps-uncap,1.0,378.26991081237793,21189.250946044922,104.52103614807129
mig,1.0,569.4513320922852,123.05116653442383,2346.4386463165283
mps-uncap,1.1,2627.2237300872803,34097.38874435425,66.48755073547363
mig,1.1,8207.52763748169,7093.2512283325195,6763.307332992554
mps-uncap,1.2,13800.322532653809,39389.578342437744,70.15633583068848
mig,1.2,14251.52325630188,12953.406810760498,16383.324146270752
mps-uncap,1.3,21303.208112716675,48035.22324562073,89.66350555419922
mig,1.3,21159.65247154236,18931.8904876709,23035.38751602173
