mode,load,0_mobilenet_v3_large-32,1_squeezenet1_0-4,2_vgg11-32
mps-uncap,0.6,1811.1730745769335,844.1067594795489,497.16293713584685
mig,0.6,1843.6152556530508,832.2758159844932,490.6496174632823
mps-uncap,0.7,2111.9141757336447,959.3491581145312,569.6983038826987
mig,0.7,2150.9184039090624,969.318432056995,552.8604665086641
mps-uncap,0.8,2439.7521092227157,1111.6021590004539,671.0071970224298
mig,0.8,2380.06325741981,1111.5126954826417,657.7145805092358
mps-uncap,0.9,2727.6935895156375,1192.2178384068288,742.8625774929445
mig,0.9,2746.7992663763766,1240.0222363195248,726.8005084491518
mps-uncap,1.0,3058.856278223937,1072.060997570988,852.2961161804133
mig,1.0,3019.5805706192255,1376.976412324209,822.2321549538811
mps-uncap,1.1,3329.5058923546085,942.0000921921688,907.3564905779664
mig,1.1,3074.9264595731775,1417.9388487419035,830.5742094735085
mps-uncap,1.2,3165.938825059159,946.3862361418406,986.1751190076606
mig,1.2,3085.1301331605946,1418.1485034991056,831.4468089773318
mps-uncap,1.3,3060.2363380913234,843.5627425509695,1099.262791208992
mig,1.3,3071.4017804674045,1415.0662576192708,829.0382207907733
