mode,load,0_densenet169-32,1_resnet152-8,2_vgg16-8
mps-uncap,0.8,430.308245565391,115.25371012412269,762.0730984665032
mps-uncap,0.9,441.64155279859887,132.02251154324367,819.1034167415711
mps-uncap,1.0,484.85536823827266,150.55720072181555,914.6097701644616
mps-uncap,0.5,238.96977504020447,76.51192540668715,465.30897260875236
mps-uncap,0.6,318.27646142603777,85.9749586232674,562.4189397456144
mps-uncap,0.7,355.5255710134498,110.51518996286443,649.0784889017315
mps-uncap,0.1,50.045360073566236,16.143712371792375,96.77074874484887
mps-uncap,0.2,111.15365049634579,28.41229067760485,189.30348241205198
mps-uncap,0.3,151.38729123716774,44.60481378950979,270.61660758310865
mps-uncap,0.4,212.92076735759795,57.115860146332885,360.5948148147374
