mode,load,0_squeezenet1_0-16,1_efficientnet_b6-2,2_vgg13-16
mps-uncap,1.0,12.0011568069458,60.72402000427246,11.774301528930664
mig,1.0,6.401777267456055,17.30823516845703,29.778480529785156
