mode,load,0_efficientnet_b6-4,1_resnet50-8,2_squeezenet1_0-16
mps-uncap,0.8,104.34443015019673,638.4827044553501,2622.81059753557
mps-uncap,0.9,120.14000591077614,751.0640263951872,2873.8047206160177
mps-uncap,1.0,128.520885996934,740.2015099574822,2954.676867080799
mps-uncap,0.5,69.56598193376595,412.7817842397055,1602.9909059245283
mps-uncap,0.6,83.80848329872967,503.80667647388276,1969.9087824194278
mps-uncap,0.7,97.01439649501461,574.995028444669,2206.572499068323
mps-uncap,0.1,13.639789463581845,88.15926691467686,314.7435759529866
mps-uncap,0.2,27.549981095002416,162.7235943071679,661.5173625043191
mps-uncap,0.3,39.270899521597855,242.2931793947955,998.5272644571857
mps-uncap,0.4,54.17645933602439,318.1512828451802,1273.1094382693148
