mode,load,0_vgg16-2,1_efficientnet_b6-2,2_squeezenet1_1-4
mps-uncap,1.0,677.4566193148744,103.1382901497764,1587.3293146128597
mig,1.0,487.0241208319103,113.59882693713051,2169.4838439082546
