mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,39.55531120300293,2.2735595703125,6.487250328063965
mig,0.6,61.79618835449219,3.7479400634765625,11.858463287353516
mps-uncap,0.7,42.81020164489746,2.561211585998535,6.619930267333984
mig,0.7,61.94734573364258,3.764629364013672,11.868953704833984
mps-uncap,0.8,44.54803466796875,2.7141571044921875,6.665349006652832
mig,0.8,62.26205825805664,3.779888153076172,11.981725692749023
mps-uncap,0.9,44.89898681640625,3.0596256256103516,8.635640144348145
mig,0.9,62.68882751464844,3.8194656372070312,12.050628662109375
mps-uncap,1.0,50.10366439819336,3.33249568939209,11.066198348999023
mig,1.0,63.09628486633301,3.864765167236328,12.161731719970703
mps-uncap,1.1,47.33991622924805,3.3974647521972656,13.230443000793457
mig,1.1,63.250064849853516,3.8819313049316406,12.206077575683594
mps-uncap,1.2,51.07307434082031,3.473520278930664,14.456033706665039
mig,1.2,63.32540512084961,3.877401351928711,12.186527252197266
mps-uncap,1.3,51.175832748413086,3.517627716064453,14.578104019165039
mig,1.3,63.330888748168945,3.870725631713867,12.174367904663086
