mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,86.13948822021486,7.999372482299806,26.215553283691406
mig,0.6,187.54096031188973,12.096071243286135,36.633634567260735
mps-uncap,0.7,112.4715805053711,9.891080856323242,36.429643630981445
mig,0.7,201.51591300964353,16.28899574279785,47.20690250396732
mps-uncap,0.8,115.92864990234375,12.657761573791504,45.19035816192628
mig,0.8,269.20967102050787,22.252798080444336,68.82655620574951
mps-uncap,0.9,134.2912197113037,25.737285614013672,100.8687496185303
mig,0.9,588.3262157440186,42.338109016418464,124.19786453247072
mps-uncap,1.0,270.87779045104986,78.45613956451415,224.7323513031006
mig,1.0,2307.6661109924316,189.27502632141113,861.884593963623
mps-uncap,1.1,230.33099174499534,1065.3559684753418,9467.525720596313
mig,1.1,9176.683330535889,7109.254002571106,7510.793495178223
mps-uncap,1.2,781.0420513153078,6751.10125541687,24307.549858093265
mig,1.2,17514.612436294556,12228.819608688354,14736.010026931765
mps-uncap,1.3,8629.287147521973,13797.086715698242,31692.79618263245
mig,1.3,19133.382701873783,18521.36082649231,17657.178926467896
