mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,51.412105560302734,9.594917297363281,25.79331398010254
mig,0.6,67.78264045715332,15.208721160888672,23.316383361816406
mps-uncap,0.7,53.12514305114746,9.63139533996582,25.72917938232422
mig,0.7,69.07534599304199,9.109973907470703,16.89743995666504
mps-uncap,0.8,61.14053726196289,17.436981201171875,25.517940521240234
mig,0.8,66.63680076599121,16.311168670654297,24.392127990722656
mps-uncap,0.9,55.73606491088867,14.915704727172852,27.76336669921875
mig,0.9,73.9128589630127,19.07801628112793,24.92380142211914
mps-uncap,1.0,61.03968620300293,15.850305557250977,30.385494232177734
mig,1.0,67.30437278747559,8.61215591430664,19.861698150634766
mps-uncap,1.1,56.10227584838867,14.840364456176758,27.025699615478516
mig,1.1,66.47014617919922,7.83991813659668,17.66514778137207
mps-uncap,1.2,60.74833869934082,17.984628677368164,26.47542953491211
mig,1.2,69.1380500793457,7.840871810913086,17.90904998779297
mps-uncap,1.3,59.97776985168457,9.032249450683594,26.139497756958008
mig,1.3,72.74556159973145,11.254549026489258,25.192737579345703
