mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,0.014066696166992188,0.010728836059570312,0.011205673217773438
mig,0.6,0.01430511474609375,0.011205673217773438,0.011444091796875
mps-uncap,0.7,0.01239776611328125,0.011205673217773438,0.01239776611328125
mig,0.7,0.01430511474609375,0.011205673217773438,0.011205673217773438
mps-uncap,0.8,0.014543533325195312,0.011444091796875,0.011682510375976562
mig,0.8,0.0152587890625,0.011205673217773438,0.011682510375976562
mps-uncap,0.9,0.014781951904296875,0.011682510375976562,0.011444091796875
mig,0.9,0.015497207641601562,0.01239776611328125,0.0133514404296875
mps-uncap,1.0,0.014781951904296875,0.010967254638671875,0.012159347534179688
mig,1.0,0.0152587890625,0.010967254638671875,0.013828277587890625
mps-uncap,1.1,0.0152587890625,0.013113021850585938,0.013113021850585938
mig,1.1,0.018358230590820312,0.014066696166992188,0.01430511474609375
mps-uncap,1.2,0.015735626220703125,0.013589859008789062,0.015974044799804688
mig,1.2,0.028133392333984375,0.0133514404296875,0.017404556274414062
mps-uncap,1.3,0.0152587890625,0.013828277587890625,0.01430511474609375
mig,1.3,0.01621246337890625,0.013589859008789062,0.018358230590820312
