mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,245.2254295349121,24.39737319946289,64.29052352905273
mig,0.6,279.4520854949951,32.663583755493164,132.54594802856445
mps-uncap,0.7,233.5054874420166,28.314828872680664,118.06368827819824
mig,0.7,343.524694442749,47.72305488586426,117.19727516174316
mps-uncap,0.8,270.80821990966797,48.68650436401367,131.5016746520996
mig,0.8,524.2621898651123,51.96976661682129,170.88770866394043
mps-uncap,0.9,276.0457992553711,74.06973838806152,350.3861427307129
mig,0.9,902.5783538818359,87.08834648132324,296.9231605529785
mps-uncap,1.0,435.9397888183594,214.28489685058594,504.6954154968262
mig,1.0,2904.9887657165527,299.70574378967285,1127.837896347046
mps-uncap,1.1,526.3786315917969,1413.8233661651611,10206.473588943481
mig,1.1,9662.670135498047,7779.338598251343,8464.099168777466
mps-uncap,1.2,1154.8638343811035,7422.204971313477,27025.79426765442
mig,1.2,18778.21135520935,13567.364931106567,16230.46898841858
mps-uncap,1.3,9620.077133178711,15554.867029190063,35521.00682258606
mig,1.3,21477.948427200317,20511.71827316284,19929.54134941101
