mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,30.104875564575195,1.4600753784179688,3.8900375366210938
mig,0.6,60.750722885131836,3.4704208374023438,11.428117752075195
mps-uncap,0.7,30.20763397216797,1.4982223510742188,3.8177967071533203
mig,0.7,60.864925384521484,3.460407257080078,11.428356170654297
mps-uncap,0.8,30.424118041992188,1.4564990997314453,3.7720203399658203
mig,0.8,60.86897850036621,3.4644603729248047,11.428594589233398
mps-uncap,0.9,32.35006332397461,1.451253890991211,3.863811492919922
mig,0.9,60.87899208068848,3.4623146057128906,11.443614959716797
mps-uncap,1.0,29.634952545166016,1.4643669128417969,3.8115978240966797
mig,1.0,61.46669387817383,3.5309791564941406,11.640548706054688
mps-uncap,1.1,31.96120262145996,1.6224384307861328,3.905773162841797
mig,1.1,61.30528450012207,3.5066604614257812,11.558771133422852
mps-uncap,1.2,31.980037689208984,1.5826225280761719,3.978252410888672
mig,1.2,61.93041801452637,3.5288333892822266,11.516809463500977
mps-uncap,1.3,42.101144790649414,1.5897750854492188,3.973245620727539
mig,1.3,62.1190071105957,3.5262107849121094,11.636495590209961
