mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,125.3448057174678,11.626229286193857,38.352787494659424
mig,0.6,227.85753250122053,17.93217658996582,60.52572250366205
mps-uncap,0.7,148.73553276062006,15.09542226791382,56.65667057037353
mig,0.7,287.11003780364985,24.666438102722154,72.46475934982297
mps-uncap,0.8,169.34103965759192,21.47647857666017,80.05227088928218
mig,0.8,359.5044970512394,32.99767971038818,112.57853507995569
mps-uncap,0.9,172.52793312072708,46.54096126556384,190.01543045043957
mig,0.9,728.8024902343752,68.06057214736933,218.50651741027843
mps-uncap,1.0,352.5166606903079,185.72562694549555,402.422161102295
mig,1.0,2748.344173431397,264.3134593963623,1053.0123710632324
mps-uncap,1.1,361.2738990783691,1345.5786323547366,9941.651248931885
mig,1.1,9485.214414596558,7659.2121958732605,8361.24561548233
mps-uncap,1.2,968.4491729736327,7344.2758321762085,26763.184599876404
mig,1.2,18695.856738090515,13418.350553512573,16107.865829467773
mps-uncap,1.3,9489.354772567749,15257.671368122103,35142.71431446076
mig,1.3,20996.189832687378,20298.557138442993,19711.221103668213
