mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,161.77657127380314,15.25030851364136,47.93846607208252
mig,0.6,290.9479713439941,21.865615844726566,72.99732685089108
mps-uncap,0.7,192.89234161376945,18.67814064025879,72.26962566375725
mig,0.7,349.2142868041992,28.752703666687005,84.96845006942748
mps-uncap,0.8,216.37616157531653,24.75777626037599,95.63633203506461
mig,0.8,421.5058350563053,37.04025745391844,125.46418428421008
mps-uncap,0.9,219.19167518615671,50.45182228088369,199.8985075950623
mig,0.9,791.3999319076541,71.79846048355101,230.62833786010754
mps-uncap,1.0,403.84250640869163,189.8229479789734,415.4723215103151
mig,1.0,2811.793718338013,268.4531807899475,1065.384864807129
mps-uncap,1.1,409.3392467498779,1348.9221954345705,9956.309258937836
mig,1.1,9548.327159881592,7663.063955307007,8373.826925754545
mps-uncap,1.2,1020.436267852783,7347.693204879761,26773.159618377686
mig,1.2,18759.18185710907,13422.428178787231,16120.012559890747
mps-uncap,1.3,9540.606088638304,15261.624426841736,35165.726737976074
mig,1.3,21062.29944229126,20302.49701499939,19723.358850479126
