mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,43.04838180541992,2.940535545349121,8.465170860290527
mig,0.6,80.84869384765625,5.501031875610352,16.411304473876953
mps-uncap,0.7,46.60487174987793,3.4711360931396484,11.249542236328125
mig,0.7,94.27022933959961,6.719827651977539,20.91062068939209
mps-uncap,0.8,50.200462341308594,4.0760040283203125,13.90218734741211
mig,0.8,121.95432186126709,8.547067642211914,25.453686714172363
mps-uncap,0.9,60.46128273010254,7.271528244018555,25.463342666625977
mig,0.9,272.93920516967773,14.001846313476562,48.12288284301758
mps-uncap,1.0,96.00305557250977,18.50426197052002,50.18758773803711
mig,1.0,1748.943567276001,38.797616958618164,379.47559356689453
mps-uncap,1.1,96.50135040283203,263.18955421447754,4874.482750892639
mig,1.1,4538.402080535889,3821.2032318115234,4007.2436332702637
mps-uncap,1.2,411.6787910461426,3223.7167358398438,12463.321566581726
mig,1.2,9229.556798934937,6738.43240737915,7762.702226638794
mps-uncap,1.3,5564.104080200195,7083.617329597473,16422.497749328613
mig,1.3,10856.758832931519,9985.428810119629,9758.770942687988
