mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,45.29571533203125,4.541277885437012,15.633106231689453
mig,0.6,63.627338409423835,4.720211029052734,13.239383697509766
mps-uncap,0.7,47.907304763793945,4.7182321548461905,17.037677764892578
mig,0.7,63.577032089233406,4.697322845458984,12.980818748474121
mps-uncap,0.8,49.214839935302734,4.716682434082031,17.82605648040772
mig,0.8,63.9343500137329,4.367589950561523,12.920546531677246
mps-uncap,0.9,47.58954048156738,5.447959899902344,19.00186538696289
mig,0.9,63.98344039916992,4.252195358276367,12.789440155029297
mps-uncap,1.0,51.83687210083008,5.436515808105467,18.696784973144535
mig,1.0,63.92645835876465,4.231452941894531,12.766361236572266
mps-uncap,1.1,48.32754135131836,5.657386779785156,20.65908908843994
mig,1.1,64.10946846008301,4.2362213134765625,12.776851654052734
mps-uncap,1.2,52.18386650085449,5.297660827636719,21.995210647583008
mig,1.2,64.14389610290527,4.249334335327148,12.767362594604494
mps-uncap,1.3,52.0937442779541,5.303549766540527,22.78876304626465
mig,1.3,64.45965766906738,4.373645782470703,12.913084030151367
