mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,44.84052658081057,4.2391300201416,14.80114459991455
mig,0.6,125.80561637878424,8.02397727966309,24.689149856567383
mps-uncap,0.7,68.87369155883792,6.1744928359985325,24.407482147216797
mig,0.7,138.69028091430664,12.312316894531255,35.20340919494632
mps-uncap,0.8,70.34087181091309,9.030556678771973,33.55698585510254
mig,0.8,207.177472114563,18.270492553710938,56.56671524047851
mps-uncap,0.9,89.00699615478513,22.041940689086925,88.89660835266113
mig,0.9,526.7853736877441,38.31095695495607,111.30456924438477
mps-uncap,1.0,221.11415863037112,74.59466457366942,211.41343116760257
mig,1.0,2244.0319538116455,185.26196479797363,849.7645854949951
mps-uncap,1.1,182.82432556152364,1061.5069389343262,9455.807447433472
mig,1.1,9113.14435005188,7104.947447776794,7498.510503768921
mps-uncap,1.2,729.630994796753,6747.472524642944,24298.789167404182
mig,1.2,17450.32787322998,12224.966526031494,14723.849773406982
mps-uncap,1.3,8577.966141700745,13793.454694747925,31673.264694213867
mig,1.3,19070.051765441895,18517.59786605835,17644.25253868103
