mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,288.77973556518555,27.653932571411133,82.14569091796875
mig,0.6,340.50512313842773,36.37576103210449,144.7150707244873
mps-uncap,0.7,280.3506851196289,31.894683837890625,126.80602073669434
mig,0.7,408.214807510376,51.36299133300781,128.8158893585205
mps-uncap,0.8,320.9996223449707,50.61745643615723,145.49779891967773
mig,0.8,586.594820022583,57.0521354675293,183.17747116088867
mps-uncap,0.9,323.1382369995117,76.28798484802246,365.44322967529297
mig,0.9,965.0044441223145,90.80743789672852,309.22508239746094
mps-uncap,1.0,486.8173599243164,217.96417236328125,516.289472579956
mig,1.0,2968.2986736297607,303.88402938842773,1139.9447917938232
mps-uncap,1.1,573.3292102813721,1419.0640449523926,10221.09603881836
mig,1.1,9726.057767868042,7783.376216888428,8476.516246795654
mps-uncap,1.2,1205.6868076324463,7425.214052200317,27037.667274475098
mig,1.2,18842.076539993286,13571.04778289795,16242.43712425232
mps-uncap,1.3,9672.135591506958,15559.875965118408,35532.257318496704
mig,1.3,21540.503978729248,20521.774291992188,19941.503286361694
