mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,0.043392181396484375,0.030517578125,0.030279159545898438
mig,0.6,18.987417221069336,1.3096332550048828,4.325151443481445
mps-uncap,0.7,0.051021575927734375,0.03361701965332031,0.7224082946777344
mig,0.7,32.221317291259766,2.814054489135742,8.816719055175781
mps-uncap,0.8,4.059076309204102,0.9218454360961914,2.9773712158203125
mig,0.8,59.21471118927002,4.573345184326172,13.157367706298828
mps-uncap,0.9,14.581680297851562,3.6780834197998047,14.284968376159668
mig,0.9,210.18171310424805,10.06937026977539,35.78901290893555
mps-uncap,1.0,47.66058921813965,14.812946319580078,38.545846939086914
mig,1.0,1685.4002475738525,34.83784198760986,367.2194480895996
mps-uncap,1.1,48.79927635192871,259.65142250061035,4863.9034032821655
mig,1.1,4474.470615386963,3817.1918392181396,3994.8248863220215
mps-uncap,1.2,360.20469665527344,3220.16978263855,12445.419311523438
mig,1.2,9165.778398513794,6734.444856643677,7750.320672988892
mps-uncap,1.3,5512.906789779663,7080.259561538696,16400.078773498535
mig,1.3,10792.97399520874,9981.510639190674,9746.668577194214
