mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,320.31987384932205,2410.9291048316813,759.6539297670571
mig,0.6,291.3006656754474,2347.0502591556933,773.7242705575219
mps-uncap,0.7,343.7301586350321,2779.683013019484,896.1645223609323
mig,0.7,346.5222221132597,2835.2924941976758,914.1140721787519
mps-uncap,0.8,379.4440763259209,3126.3025102581964,1023.1927212986124
mig,0.8,389.0390340661531,3139.483873501394,1028.9713372361084
mps-uncap,0.9,450.31371704289586,3519.315157096242,1158.484875057827
mig,0.9,459.09933240728526,3514.1677297997853,1170.4456746724345
mps-uncap,1.0,494.46999058280977,3999.0449471056795,1273.6444984607053
mig,1.0,505.09984152674684,3878.7006570469557,1288.4643242155107
mps-uncap,1.1,537.1967654746319,4275.124959985663,1258.2108596058072
mig,1.1,504.0332561172452,4007.7470990250417,1296.7105936315222
mps-uncap,1.2,602.0392333180237,4323.285435393754,1063.1390522964205
mig,1.2,504.4056618096124,4015.7454640552646,1299.1454685615763
mps-uncap,1.3,618.1616629742159,4241.279140322098,1016.5943310244546
mig,1.3,503.6940663789307,3997.093420636356,1293.7327594379392
