mode,load,0_efficientnet_b5-32,1_alexnet-16,2_resnet34-16
mps-uncap,0.6,30.141830444335938,1.4808177947998047,3.9091110229492188
mig,0.6,60.913801193237305,3.4918785095214844,11.441946029663086
mps-uncap,0.7,30.246496200561523,1.5153884887695312,3.9091110229492188
mig,0.7,60.996294021606445,3.490447998046875,11.521339416503906
mps-uncap,0.8,31.353235244750977,1.4700889587402344,3.786802291870117
mig,0.8,61.05470657348633,3.4830570220947266,11.495828628540039
mps-uncap,0.9,32.87196159362793,1.474618911743164,3.907442092895508
mig,0.9,60.899972915649414,3.490924835205078,11.581659317016602
mps-uncap,1.0,32.41848945617676,1.4820098876953125,3.9052963256835938
mig,1.0,61.486244201660156,3.564119338989258,11.658668518066406
mps-uncap,1.1,35.72964668273926,1.636505126953125,3.9396286010742188
mig,1.1,61.3250732421875,3.5207271575927734,11.811017990112305
mps-uncap,1.2,44.695377349853516,1.6677379608154297,3.9970874786376953
mig,1.2,63.150644302368164,3.5712718963623047,11.58595085144043
mps-uncap,1.3,45.09139060974121,1.6794204711914062,3.987550735473633
mig,1.3,62.13521957397461,3.6487579345703125,11.797666549682617
