mode,load,0_densenet121-2,1_inception_v3-16,2_vgg13-32
mps-uncap,0.8,38.0481481552124,38.38849067687988,18.20671558380127
mps-uncap,0.9,49.51918125152588,43.89619827270508,18.143892288208008
mps-uncap,1.0,51.822662353515625,44.22473907470703,18.267035484313965
mps-uncap,0.5,18.962383270263672,16.64447784423828,18.222808837890625
mps-uncap,0.6,21.93450927734375,21.523237228393555,18.208742141723633
mps-uncap,0.7,33.74016284942627,33.14077854156494,18.20540428161621
mps-uncap,0.1,26.807427406311035,20.359516143798828,18.585681915283203
mps-uncap,0.2,22.16315269470215,19.567012786865234,18.368959426879883
mps-uncap,0.3,20.44236660003662,16.59369468688965,18.330931663513184
mps-uncap,0.4,16.834020614624023,15.876293182373047,18.247604370117188
